NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
28237,"SUNSHINE,CHEEZ-IT,CHEDDAR JACK CRACKERS",460,9.5,57.6,1.2,5.5,6,9.9,2
28238,"SUNSHINE,CHEEZ-IT,COLBY CRACKERS",512,9.55,59.25,1.2,6.4,7.1,12.6,2
28289,"COOKIE,VANILLA W/ CARAMEL,COCNT,& CHOC COATING",489,3.5,64.1,35.8,17.7,2.8,3.7,2
36021,"APPLEBEE'S,COLESLAW",120,0.79,13.17,9.33,1.061,1.404,3.819,2
42135,"WHIPPED TOPPING,FRZ,LOFAT",224,3,23.6,23.6,11.273,0.838,0.269,2
42192,"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,FAT-FREE",115,1.52,25.6,7.44,0.45,0.441,0.069,2
42290,"MILK,FLUID,NONFAT,CA FORT (FAT FREE OR SKIM)",35,3.4,4.85,4.85,0.117,0.047,0.007,2
43021,"SALAD DRSNG,CAESAR,LO CAL",110,0.3,18.6,16.32,0.703,1.124,2.368,2
43214,"BUTTER REPLCMNT,WO/FAT,PDR",373,2,89,5.3,0.589,0.276,0.057,2
43261,"YOGURT,FRUIT VAR,NON-FAT",95,4.4,19,19,0.119,0.05,0.016,2
43528,"BEVERAGES,ABBOTT,ENSURE PLUS,RTD",141,5.16,19.88,8.33,0.574,1.095,2.655,2
01112,"WHEY,ACID,FLUID",24,0.76,5.12,5.12,0.057,0.025,0.004,1
01187,"YOGURT,CHOC,NONFAT MILK",112,3.53,23.53,14.97,0,0,0,1
01222,"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112,3.53,23.53,14.97,0,0,0,1
03119,"BABYFOOD,VEG,CORN,CRMD,STR",57,1.4,14.1,1.23,0.076,0.116,0.176,1
03120,"BABYFOOD,VEG,CORN,CRMD,JR",65,1.4,16.25,1.48,0.074,0.116,0.178,1
03803,"INF FORMULA, MEAD JOHNSON, ENFAMIL, W/IRON, RTF",63,1.38,7.2,7.18,1.469,1.33,0.67,1
03806,"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",63,1.38,7.18,7.18,1.479,1.291,0.689,1
03812,"INF FORMU,MEAD JOHNS,ENFA,LIPIL,W/ IRO,LIQ CONC,W/ ARA & DHA",131,2.76,14.34,14,3.08,2.656,1.418,1
03815,"INF FORMULA, MEAD JOHN, ENFAMIL LIPIL,W/ IRON,RTF,W/ AR & DH",64,1.38,7.1,7.1,1.453,1.255,0.67,1
03820,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88,3.33,8.57,7.4,3.953,0.143,0.333,1
03825,"INF FOR,ME JOHN,ENFAM,LIPIL,LO IRON,READY TO FE,W/ ARA & DHA",64,1.38,7.18,7.18,1.453,1.255,0.67,1
03832,"INF FORMULA,MEAD JOHNSON,ENFAMIL,LIPIL,RTF,W/ ARA & DHA",66,1.38,6.44,6.44,1.453,1.255,0.67,1
03846,"INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF",66,1.8,6.77,4.4,1.838,0.294,1.113,1
03868,"INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF",63,1.38,7.18,7.18,1.495,1.291,0.689,1
03900,"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,RTF",65,1.7,8.54,6.19,1.18,0.87,0.6,1
03934,"BABYFOOD,CORN & SWT POTATOES,STR",68,1.26,15.23,4,0.053,0.071,0.123,1
03935,"INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA",67,1.8,6.77,4.4,1.838,0.294,1.126,1
03942,"INF FORMULA, MEAD JOHNS, ENFAMI, AR LIPIL, RTF,W/ ARA & DHA",68,1.71,7.53,6.44,1.453,1.255,0.67,1
03955,"INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA",71,2,7.4,7.4,1.578,1.33,0.862,1
03964,"BABY FD,FORT CRL BAR,FRUIT FILLING",344,5.43,68.63,42,0.453,3.107,1.541,1
03968,"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64,1.78,7.18,7.18,1.55,1.38,0.73,1
04613,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",533,0.17,0.86,0,12.086,19.348,26.477,1
04614,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT",526,0.6,0,0,10.042,20.316,24.686,1
04620,"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT",533,0.17,0.86,0,12.086,19.348,26.477,1
04624,"MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT",43,1.5,2.5,0,0.416,0.74,1.764,1
04630,"MARGARINE SPRD,APPROX 48% FAT,TUB",424,0.2,0.86,,8.792,16.416,20.235,1
04694,"VEG OIL SPRD,60% FAT,TUB,W/ SALT,W/ ADDED VITAMIN D",533,0.17,0.86,0,12.086,19.347,26.477,1
04695,"VEG-OIL SPRD,STICK/TUB/BOTTLE,60% FAT,W/ ADDED VITAMIN D",535,0.6,0,0,10.042,20.316,24.686,1
04697,"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT,W/VIT D",542,0.17,0.86,0,12.086,19.348,26.477,1
04705,"SALAD DRSNG,CAESAR,FAT-FREE",131,1.47,30.73,8.82,0.096,0.045,0.01,1
04706,"DRESSING,HONEY MUSTARD,FAT-FREE",169,1.07,38.43,17.75,0.349,0.708,0.287,1
06013,"SOUP,CHICK BROTH,CND,COND",31,4.42,0.75,0.35,0.31,0.47,0.22,1
06035,"SOUP,ESCAROLE,CND,RTS",11,0.62,0.72,,0.22,0.33,0.15,1
06040,"SOUP,MINESTRONE,CND,COND",68,3.48,9.17,1.5,0.44,0.56,0.91,1
06053,"SOUP,CRM OF POTATO,CND,COND",74,1.51,12.79,1.44,0.97,0.44,0.33,1
06063,"SOUP,TOMATO RICE,CND,COND",93,1.64,17.08,5.9,0.4,0.47,1.05,1
06072,"SOUP,VEG W/ BF BROTH,CND,COND",66,2.42,10.7,1.64,0.36,0.45,0.64,1
06174,"SOUP,STOCK,FISH,HOME-PREPARED",16,2.26,0,0,0.203,0.236,0.138,1
06285,"SAUCE,SWT & SOUR,PREPARED-FROM-RECIPE",79,1.84,16.72,10.81,0.144,0.253,0.117,1
06316,"SOUP,HEALTHY CHOIC GARDEN VEG SOUP,CND",51,2.13,10.04,2.13,0.05,0.07,0.08,1
06341,"CAMPBELL'S,CRM OF POTATO SOUP,COND",71,1.51,13.25,1.44,0.34,0.28,0.63,1
06404,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63,2.88,8.31,1.47,0.558,0.793,0.666,1
06428,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",30,0.85,4.77,1.32,0.149,0.149,0.503,1
06440,"SOUP,MINESTRONE,CND,PREP W/ EQ VOLUME H2O",34,1.77,4.66,,0.23,0.29,0.46,1
06463,"SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",47,0.82,8.54,2.95,0.2,0.235,0.525,1
06466,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O",30,1.28,3.58,,0.37,0.55,0.28,1
06472,"SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",33,1.21,5.35,0.82,0.18,0.225,0.32,1
06483,"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",41,0.68,5.11,1.59,1.3,0.45,0.16,1
06968,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",53,1,4.53,1.72,1.005,0.704,1.739,1
08138,"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",394,7.2,83.3,42.8,0.719,1.42,1.3,1
08220,"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",388,8.42,80.57,25.65,0.97,2.548,1.438,1
08288,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",395,4.3,85.59,29.6,0.89,1.2,0.2,1
08349,"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",401,5,87.9,45.7,0.687,1.47,0.976,1
08449,"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY",360,8.8,74.18,2.02,1.08,2.29,1.11,1
08450,"CEREALS,QUAKER,INST GRITS,HAM 'N' CHS FLAVOR,DRY",355,10.73,71.08,2.69,1.06,2.26,1.05,1
08476,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS",395,6.3,87.6,37.4,0.65,0.55,0.65,1
08501,"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",404,3.9,90.1,42.6,0.64,2.12,0.258,1
08562,"CEREALS,KASHI GO LN HOT CRL,CREAMY TRULY VANILLA,DRY",360,22.29,61.09,14.8,0.89,1.6,2.59,1
08652,"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL",397,7,76.1,35.7,2.5,2.8,5.2,1
08658,"CEREALS RTE,KELLOGG'S KRAVE DOUBLE CHOC CRL",397,7.1,75.9,36.3,2.6,2.8,5.2,1
08686,"CEREALS,QUAKER,WT CONTROL INST OATMEAL,MAPLE & BROWN SUGAR",361,16.37,64.25,1.25,1.157,2.196,1.852,1
08687,"CEREALS,QUAKER,WEIGHT CONTROL INST OATMEAL,BANANA BREAD",361,16.5,64.42,1.29,1.188,2.185,1.807,1
08689,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,BLUEBERRY HAZELNUT,DRY",386,9.81,69.47,18.71,1.648,3.742,2.863,1
08691,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,SMMR BERRY,DRY",353,11.31,72.58,20.43,1.041,1.363,1.34,1
08693,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,CHERRY PISTACHIO,DRY",394,12.02,66.73,26.34,1.387,5.695,3.147,1
08694,"CEREALS,QUAKER,INST OATMEAL,WEIGHT CONTROL,CINN",361,16.5,64.21,1.27,1.207,2.224,1.839,1
11371,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & MARGARINE ADDED",113,1.96,16.94,1.41,0.745,1.44,0.892,1
14317,"MALTED DRK MIX,CHOC,PDR",411,5.1,86.94,66.67,2.381,1.167,0.669,1
16504,"LOMA LINDA TENDER ROUNDS W/ GRAVY,CND,UNPREP",145,16.3,7.4,1,0.7,1.3,2.3,1
16505,"LOMA LINDA SWISS STAKE W/ GRAVY,CND,UNPREP",138,10.2,10.4,0.9,0.8,1.6,3.7,1
16512,"WORTHINGTON DICED CHIK,CND,UNPREP",80,14.7,3.7,0.1,,,,1
16513,"WORTHINGTON FRICHIK ORIGINAL,CND,UNPREP",160,13.4,3.4,0.1,1.4,2.4,5.5,1
16514,"WORTHINGTON LOFAT FRI CHIK,CND,UNPREP",102,14.3,4.9,0,0.4,0.7,1.1,1
16517,"WORTHINGTON PRIME STAKES,CND,UNPREP",135,10.2,7.5,0.3,1,1.7,3.6,1
16519,"WORTHINGTON SUPER LINKS,CND,UNPREP",219,14.5,5.5,0.6,2.1,3.1,8.4,1
16526,"WORTHINGTON MEATLESS CHICK ROLL,FRZ,UNPREP",154,16.1,4.3,0.8,1.2,1.8,4.6,1
16527,"WORTHINGTON MEATLESS CORNED BF ROLL,FRZ,UNPREP",245,18.6,9.9,2.1,2.3,3.5,8.6,1
16528,"WORTHINGTON DINNER RST,FRZ,UNPREP",213,16,6.9,1,2.4,5.4,5.6,1
16534,"WORTHINGTON STAKELETS,FRZ,UNPREP",211,19.7,9.6,1.2,1.8,3.5,5.1,1
16549,"MORNINGSTAR FARMS GRILLERS PRIME,FRZ,UNPREP",238,24,5.9,0.3,1.6,5.6,6,1
16587,"MORNINGSTAR FARMS BRKFST SAUSAGE PATTIES MAPLE FLAV,FRZ,UNPR",224,26.3,13.6,5.9,0.9,1.6,4,1
16592,"MORNINGSTAR FARMS CALIFORNIA TURK'Y BURGER,FRZ,UNPREP",155,14.9,12.6,1.8,0.8,2.8,3.4,1
16593,"MORNINGSTAR FARMS HOT & SPICY VEGGIE SAUSGE PATTIES,FRZ,UNP",188,21.8,8.5,0.2,0.9,1.7,4.1,1
16596,"MORNINGSTAR FARMS GRILLERS QTR POUND VEGGIE BURGER,FRZ,U",221,22.8,8.9,0.6,1.9,2,4.9,1
16606,"MORNINGSTAR FARMS MEDITERRANEAN CHICKPEA,FRZ,UNPREP",200,15.5,19.8,1.1,0.9,2,3.3,1
16607,"MORNINGSTAR FARMS BUFFALO CHIK PATTIES,FRZ,UNPREP",264,12.1,25.2,3,1.9,3.6,6.6,1
16610,"MORNINGSTAR FARMS RSTD GARLIC & QUINOA BURGER,FRZ,UNPREP",223,10.7,17.8,2.1,1.2,7.5,2.9,1
16611,"MORNINGSTAR FARMS PARMESAN GARLIC WINGS,FRZ,UNPREP",231,14.2,24.1,1.3,1.2,1.9,4.7,1
18009,"BISCUITS,PLN OR BTTRMLK,FRZ,BKD",338,6.2,53.87,3.48,1.676,4.647,4.178,1
18014,"BISCUIT, PLN OR BUTMLK, REFRI DOUGH, HIGHER FAT",307,6.66,46.32,7.4,2.806,6.559,0.681,1
18021,"BREAD,BOSTON BROWN,CANNED",195,5.2,43.3,2.42,0.282,0.207,0.564,1
18070,"BREAD,WHITE,COMMLY PREP,TSTD",293,9,54.4,4.74,0.578,0.796,2.09,1
18081,"BREAD STUFFING,BREAD,DRY MIX",386,11,76.2,8.27,0.845,1.493,0.713,1
18102,"CAKE,WHITE,PREP FROM RECIPE W/COCNT FRSTNG",356,4.4,63.2,57.39,3.897,3.692,2.162,1
18174,"COOKIES,GRAHAM CRACKERS,CHOCOLATE-COATED",500,4,66.78,37.3,17.2,2.7,4.9,1
18376,"BREAD CRUMBS,DRY,GRATED,SEASONED",383,14.13,68.49,5.74,1.391,1.168,2.3,1
18385,"BREAD,WHEAT GERM,TOASTED",293,10.7,54.3,4.14,0.738,1.432,0.751,1
18416,"BREAD,WHITE,COMMLY PREP,LO NA,NO SALT",267,8.2,49.6,4.31,0.811,1.612,0.744,1
18432,"BREAD,WHITE,COMMLY PREP,TSTD,LO NA NO SALT",293,9,54.4,,0.892,1.771,0.818,1
18540,"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",468,5.17,72.23,32.64,3.75,7.82,1.67,1
18562,"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424,4.67,76.23,36.28,2.6,3.58,1.65,1
18609,"KEEBLER,VANILLA WAFERS",462,4,73.1,31.6,5.7,3.9,6.6,1
19027,"GRANOLA BARS,SOFT,UNCOATED,PNUT BUTTER&CHOC CHIP",432,9.8,62.2,,5.59,8.36,4.61,1
19071,"CANDIES,CAROB,UNSWTND",540,8.15,56.29,34.11,29.018,0.483,0.295,1
19079,"CANDIES,CONFECTIONER'S COATING,YOGURT",522,5.87,63.94,62.36,24.104,0.526,0.524,1
19086,"CANDIES,CONFECTIONER'S COATING,PNUT BUTTER",529,18.3,46.88,38.3,13.12,12.829,2.053,1
19091,"CANDIES,YORK PEPPERMINT PATTIE",384,2.19,80.99,63.78,4.34,0.41,0.11,1
19097,"SHERBET,ORANGE",144,1.1,30.4,24.32,1.16,0.53,0.08,1
19181,"CANDIES,YORK BITES",394,1.78,81.64,75,4.43,0.48,0.1,1
19183,"PUDDINGS,CHOC,RTE",142,2.09,23.01,17.17,1.263,2.731,0.105,1
19201,"PUDDINGS,VANILLA,RTE",130,1.45,22.6,16.97,1.016,2.286,0.087,1
19218,"PUDDINGS,TAPIOCA,RTE",130,1.95,21.69,14.91,0.962,2.538,0.072,1
19234,"PUDDINGS,TAPIOCA,RTE,FAT FREE",94,1.44,21.31,14.18,0.122,0.012,0.002,1
19235,"PUDDINGS,CHOC,RTE,FAT FREE",93,1.93,20.87,15.75,0,0,0,1
19348,"SYRUPS,CHOC,FUDGE-TYPE",350,4.6,62.9,34.82,3.98,3.857,0.278,1
19364,"TOPPINGS,BUTTERSCOTCH OR CARAMEL",252,1.5,65.9,,0.11,0.02,0,1
19375,"FROSTINGS,GLAZE,PREPARED-FROM-RECIPE",341,0.44,83.65,80.44,0.271,0.137,0.067,1
19434,"CHEESE PUFFS & TWISTS,CORN BSD,BKD,LOFAT",432,8.5,72.35,7.29,2.1,3.5,5.74,1
19441,"SNACKS,KELLOGG'S,NUTRI-GRAIN CRL BARS,FRUIT",324,4.69,69.54,30.84,1.6,2.2,4.8,1
21419,"KFC,BISCUIT",358,7.5,43.55,4.04,11.916,1.243,1.352,1
22914,"PASTA W/ TOMATO SAU,NO MEAT,CND",70,2.22,14.22,4,0.136,0.088,0.171,1
22979,"KASHI BLACK BEAN MANGO,FRZ,UNPREP",111,3,18,3,0,2,1,1
22993,"KASHI SPICY BLACK BEAN ENCHILADA,FRZ,UNPREP",108,3,17.7,1,0.4,1.4,0.8,1
28036,"GIRL SCOUTS,TREFOILS COOKIES",498,5.7,68,20.7,7.3,5.1,8.1,1
28063,"KEEBLER,CLUB,BUTTERY GARLIC CRACKERS",488,5.5,65.7,8.6,3.8,5.5,13,1
28076,"KEEBLER,FUDGE SHOPPE,CHEESECAKE MIDDLES,DK CHOC",506,4.4,64.7,33.7,14.1,3.9,7.1,1
28077,"KEEBLER,FUDGE SHOPPE,CHEESECAKE MIDDLES,ORIGINAL GRAHAM COOK",507,4.2,65.5,33.2,13.8,3.7,7.3,1
28080,"KEEBLER,FUDGE SHOPPE,DELUXE GRAHAMS COOKIES",511,4,66.6,37.3,17.2,2.7,4.9,1
28085,"KEEBLER,FUDGE SHOPPE,FUDGE GRAHAMS,1/2 DIPPED,RED FAT",470,5.6,73.7,34.1,10,1.9,3.9,1
28088,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,HOLIDAY/SPIDERMAN",498,4.1,68.8,33.8,14.8,2.7,5.1,1
28089,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,MINI",497,4.2,68.7,31.8,13.8,2.9,5.5,1
28092,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,ORIGINAL",500,4.1,68.6,33.8,14.8,2.7,5.1,1
28093,"KEEBLER,FUDGE SHOPPE,GRASSHOPPER COOKIES,FUDGE MINT",499,4,68.3,39.7,16.4,2.4,4.1,1
28115,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,FUDGE COVERED PRETZ",455,7.5,71.3,32.9,15.2,0.8,0.2,1
28119,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI FUDGE STRIPES",470,4,74.3,39.2,12.9,1.5,2.8,1
28120,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI MINTS GRASSHOP",456,5.2,75,34.5,10.3,1.7,2.9,1
28134,"KEEBLER,TOASTEDS,PARTY PK CRACKER ASSORTMENT",483,6.5,64.4,7.2,3.8,5.8,13.1,1
28143,"KEEBLER,TOWN HOUSE,RED FAT CRACKERS",431,6.6,77.1,8.4,2,2.6,6.5,1
28148,"KEEBLER,TOWN HOUSE,WHEAT CRACKERS",489,6.3,63.2,3.1,4,6,14.1,1
28151,"KEEBLER,TRADITIONS,ICED OATMEAL COOKIES",463,5.4,71,36.3,5.8,4.2,6.7,1
28152,"KEEBLER,VANILLA WAFERS MINIS,RAINBOW",466,4,72.3,31.1,6,4.1,6.8,1
28194,"MOTHER'S,4TH OF JULY CIRCUS ANIMAL COOKIES",487,3.8,68.3,44.2,24.7,0.2,0.3,1
28196,"MOTHER'S,CIRCUS ANIMAL COOKIES",515,3.8,68.3,43.5,24.7,0.2,0.3,1
28200,"MOTHER'S,HALLOWEEN CIRCUS ANIMALS COOKIES",514,3.8,68.1,43.9,24.7,0.2,0.3,1
28201,"MOTHER'S,HOLIDAY CIRCUS ANIMAL COOKIES",515,3.8,68.3,44.3,24.7,0.2,0.3,1
28203,"MOTHER'S,ICED OATMEAL COOKIES",463,5.4,71,36.3,5.8,4.2,6.7,1
28204,"MOTHER'S,JUNGLE ANIMAL COOKIES",514,3.8,68.3,44.2,24.3,0.4,0.3,1
28222,"MURRAY,SUGAR FREE,FUDGE DIPPED GRAHAMS",483,5.7,63.3,0.4,19.1,2.9,4.2,1
28223,"MURRAY,SUGAR FREE,FUDGE DIPPED MINT COOKIES",481,6,63.5,0.6,18.9,2.9,3.8,1
28229,"MURRAY,SUGAR FREE,SHORTBREAD COOKIES",431,7,71.6,1.3,5.7,3.9,6.4,1
28233,"MURRAY,VANILLA WAFER",461,4,72.9,31.5,5.7,3.9,6.6,1
28236,"SUNSHINE,CHEEZ-IT,BIG CRACKERS",507,11.4,57.4,0.5,6.1,7.2,12.6,1
28245,"SUNSHINE,CHEEZ-IT,CRACKERS (MADE W/ WHL GRAIN)",511,10.7,58.2,0.5,6.1,7.2,12.7,1
28251,"SUNSHINE,CHEEZ-IT,100 CAL RIGHT BITES,RED FAT",452,13.3,67,0.8,3.5,4,6.5,1
28279,"MURRAY,SUGAR FREE,CHOC CREME SNDWCH COOKIES",465,5.3,65.9,1.1,8.3,5.6,8.8,1
28280,"SUNSHINE,CHEEZ-IT,ORIGINAL CRACKERS",507,11.4,57.4,0.5,6.1,7.2,12.6,1
28281,"SUNSHINE,CHEEZ-IT,RED FAT CRACKERS",449,13.3,67,0.8,3.5,4,6.5,1
28286,"BREAD,PARATHA (INDIAN BREAD),WHL WHEAT,FRZ",326,6.36,45.35,4.15,5.826,3.837,2.484,1
28287,"BREAD,NAAN (INDIAN BREAD),WHL WHEAT,REFR",286,10.2,46.21,3.4,2.907,1.946,1.258,1
28288,"BREAD,ROLL,MEXICAN,BOLLILO",318,10.65,55.77,3.55,1.401,2.658,1.022,1
28293,"COOKIE,BUTTER OR SUGAR,W/ CHOC ICING OR FILLING",503,4.1,68.83,33.8,14.8,2.7,5.1,1
32002,"RICE & VERMICELLI MIX,RICE PILAF FLAVOR,UNPREP",359,10.42,76.31,1.53,0.307,0.373,0.377,1
32008,"PASTA MIX,CLASSIC CHEESEBURGER MACARONI,UNPREP",349,11.6,71.51,4.97,0.368,0.292,0.497,1
32010,"PASTA MIX,ITALIAN LASAGNA,UNPREP",356,10.9,73.77,11.27,0.443,0.423,0.415,1
32017,"PASTA MIX,ITALIAN FOUR CHS LASAGNA,UNPREP",355,12.53,70.26,6.7,0.697,0.546,0.519,1
36002,"APPLEBEE'S,FRENCH FR",290,3.31,39.5,0,2.333,3.31,5.802,1
36007,"T.G.I. FRIDAY'S,FRENCH FR",296,3.74,36.9,0,2.6,3.356,7.473,1
36014,"RESTAURANT,FAMILY STYLE,FRENCH FR",289,3.49,37.2,0.28,2.489,3.358,6.608,1
36413,"RESTAURANT,LATINO,BLACK BEAN SOUP",103,5.1,14.79,0.89,0.535,1.035,0.787,1
43020,"SALAD DRSNG,BLUE OR ROQUEFORT CHS,LO CAL",99,5.1,2.9,2.82,2.575,1.783,2.422,1
43506,"ICE CRM BAR,CHOC OR CARAMEL COVERED,W/NUTS",323,4.4,30.9,30,12.658,4.977,1.469,1
43539,"BABYFOOD,DSSRT,BANANA YOGURT,STR",78,1.1,17.35,12.2,0.37,0.12,0.03,1
01067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136,1,11.38,11.38,1.937,7.551,0.027,0
01068,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136,1,11.38,,9.304,0.106,0.003,0
01069,"CREAM SUBSTITUTE,POWDERED",545,4.79,54.88,54.88,32.525,0.968,0.014,0
01070,"DESSERT TOPPING,POWDERED",577,4.9,52.54,52.54,36.723,0.6,0.447,0
01072,"DESSERT TOPPING,PRESSURIZED",264,0.98,16.07,16.07,18.912,1.927,0.241,0
01073,"DESSERT TOPPING,SEMI SOLID,FRZ",318,1.25,23.05,23.05,21.783,1.616,0.523,0
01074,"SOUR CRM,IMITN,CULTURED",208,2.4,6.63,6.63,17.791,0.588,0.056,0
01076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61,1.75,6.16,,3.037,0.176,0.008,0
01124,"EGG,WHITE,RAW,FRESH",52,10.9,0.73,0.71,0,0,0,0
01135,"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",351,76.92,4.17,0,0,0,0,0
01136,"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",376,82.4,4.47,0,0,0,0,0
01161,"CHEESE SUB,MOZZARELLA",248,11.47,23.67,23.67,3.711,6.243,1.738,0
01172,"EGG,WHITE,RAW,FRZ,PAST",46,9.3,1.26,0.2,0.008,0.009,0.004,0
01173,"EGG,WHITE,DRIED",382,81.1,7.8,5.4,0,0,0,0
01205,"CREAM SUB,FLAV,LIQ",251,0.69,35.07,33.04,2.635,4.002,6.269,0
01206,"CREAM SUB,FLAV,PDR",482,0.68,75.42,58.01,19.446,0.618,0.229,0
01226,"EGG SUB,LIQ OR FRZ,FAT FREE",48,10,2,2,0,0,0,0
01243,"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129,4.41,27.94,8.82,0,0,0,0
02001,"ALLSPICE,GROUND",263,6.09,72.12,,2.55,0.66,2.36,0
02002,ANISE SEED,337,17.6,50.02,,0.586,9.78,3.15,0
02003,"SPICES,BASIL,DRIED",233,22.98,47.75,1.71,2.157,1.238,0.498,0
02004,"SPICES,BAY LEAF",313,7.61,74.97,,2.28,1.64,2.29,0
02005,CARAWAY SEED,333,19.77,49.9,0.64,0.62,7.125,3.272,0
02006,"SPICES,CARDAMOM",311,10.76,68.47,,0.68,0.87,0.43,0
02007,CELERY SEED,392,18.07,41.35,0.67,2.19,15.93,3.72,0
02008,"CHERVIL,DRIED",237,23.2,49.1,,0.169,1.399,1.8,0
02009,CHILI POWDER,282,13.46,49.7,7.19,2.462,3.211,8.006,0
02010,"CINNAMON,GROUND",247,3.99,80.59,2.17,0.345,0.246,0.068,0
02011,"CLOVES,GROUND",274,5.97,65.53,2.38,3.952,1.393,3.606,0
02012,"CORIANDER LEAF,DRIED",279,21.93,52.1,7.27,0.115,2.232,0.328,0
02013,CORIANDER SEED,298,12.37,54.99,,0.99,13.58,1.75,0
02014,CUMIN SEED,375,17.81,44.24,2.25,1.535,14.04,3.279,0
02015,CURRY POWDER,325,14.29,55.83,2.76,1.648,8.782,3.056,0
02016,DILL SEED,305,15.98,55.17,,0.73,9.41,1.01,0
02017,"DILL WEED,DRIED",253,19.96,55.82,,0.234,,,0
02018,FENNEL SEED,345,15.8,52.29,,0.48,9.91,1.69,0
02019,FENUGREEK SEED,323,23,58.35,,1.46,,,0
02020,GARLIC POWDER,331,16.55,72.73,2.43,0.249,0.115,0.178,0
02021,"GINGER,GROUND",335,8.98,71.62,3.39,2.599,0.479,0.929,0
02022,"MACE,GROUND",475,6.71,50.5,,9.51,11.17,4.39,0
02023,"MARJORAM,DRIED",271,12.66,60.56,4.09,0.529,0.94,4.405,0
02024,"SPICES,MUSTARD SD,GROUND",508,26.08,28.09,6.79,1.989,22.518,10.088,0
02025,"NUTMEG,GROUND",525,5.84,49.29,2.99,25.94,3.22,0.35,0
02026,ONION POWDER,341,10.41,79.12,6.63,0.219,0.202,0.31,0
02027,"SPICES,OREGANO,DRIED",265,9,68.92,4.09,1.551,0.716,1.369,0
02028,PAPRIKA,282,14.14,53.99,10.34,2.14,1.695,7.766,0
02029,"PARSLEY,DRIED",292,26.63,50.64,7.27,1.378,0.761,3.124,0
02030,"PEPPER,BLACK",251,10.39,63.95,0.64,1.392,0.739,0.998,0
