NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
09322,"TAMARINDS,RAW",239,2.8,62.5,38.8,0.272,0.181,0.059,0
09325,"FRUIT SALAD,TROPICAL,CND,HVY SYRUP,SOL&LIQUIDS",86,0.41,22.36,,0.019,0.018,0.032,0
09326,"WATERMELON,RAW",30,0.61,7.55,6.2,0.016,0.037,0.05,0
09328,"MARASCHINO CHERRIES,CND,DRND",165,0.22,41.97,38.77,0.039,0.049,0.055,0
09334,"FEIJOA,RAW",61,0.71,15.21,8.2,0.104,0.056,0.136,0
09340,"PEARS,ASIAN,RAW",42,0.5,10.65,7.05,0.012,0.049,0.055,0
09351,"FRUIT COCKTAIL,CND,HVY SYRUP,DRND",70,0.47,18.8,17.14,0.014,0.018,0.042,0
09352,"BLUEBERRIES,CND,LT SYRUP,DRND",88,1.04,22.66,17.45,0.028,0.062,0.19,0
09354,"PINEAPPLE,CND,JUC PK,DRND",60,0.51,15.56,14.26,0.008,0.014,0.04,0
09357,"APRICOTS,CND,HVY SYRUP,DRND",83,0.64,21.31,18.65,0.007,0.045,0.021,0
09367,"CHERRIES,SWT,CND,PITTED,HVY SYRUP,DRND",83,0.73,21.07,16.18,0.041,0.049,0.055,0
09370,"PEACHES,CND,HVY SYRUP,DRND",72,0.52,18.43,14.66,0.013,0.047,0.066,0
09374,"PEARS,CND,HVY SYRUP,DRND",74,0.24,19.08,16.42,0.01,0.037,0.041,0
09379,"PLUMS,CND,HVY SYRUP,DRND",89,0.44,23.12,21.58,0.011,0.09,0.03,0
09383,"TANGERINES,(MANDARIN ORANGES),CND,JUC PK,DRND",38,0.75,9.41,8.25,0.004,0.007,0.007,0
09400,"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",46,0.1,11.3,9.62,0.022,0.006,0.039,0
09401,"APPLESAUCE,CND,UNSWTND,W/ VIT C",42,0.17,11.27,9.39,0.008,0.002,0.014,0
09402,"APPLESAUCE,CND,SWTND,W/SALT",76,0.18,19.91,,0.03,0.007,0.054,0
09403,"APRICOT NECTAR,CND,W/ VIT C",56,0.37,14.39,13.24,0.006,0.038,0.017,0
09404,"GRAPEFRUIT JUICE,PINK,RAW",39,0.5,9.2,,0.014,0.013,0.024,0
09407,"PEACH NECTAR,CND,W/ VIT C",54,0.27,13.92,12.35,0.002,0.008,0.011,0
09408,"PEAR NECTAR,CND,W/ VIT C",60,0.11,15.76,15.16,0.001,0.003,0.003,0
09409,"PINEAPPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",53,0.36,12.87,9.98,0.008,0.014,0.042,0
09410,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",166,0.51,41,38.83,0.06,0.015,0.108,0
09411,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",47,0.14,11.54,,0.018,0.002,0.031,0
09420,"JACKFRUIT,CND,SYRUP PK",92,0.36,23.94,,,,,0
09422,"DURIAN,RAW OR FROZEN",147,1.47,27.09,,,,,0
09423,PRUNE PUREE,257,2.1,65.1,39,0.016,,,0
